perfil_id,endorsement_count,name,agrupamento
5,7,Microsoft Office,Informática / Softwares
5,7,Planejamento empresarial,Gestão / Administração
5,7,Planejamento estratégico,Gestão / Administração
5,6,Project Management,Gestão / Administração
5,6,Strategic Planning,Gestão / Administração
5,5,Gestão de carteiras,Gestão / Administração
5,5,Liderança de equipe,Comportamento / Social
5,5,Liderança,Comportamento / Social
5,5,Marketing,Negócios / Marketing
5,4,Marketing digital,Negócios / Marketing
5,4,Estratégias de marketing,Negócios / Marketing
5,3,Mercado de crédito,Negócios / Marketing
5,3,Negociação,Negócios / Marketing
5,3,Gestão de projetos,Gestão / Administração
5,2,Microsoft Excel,Informática / Softwares
5,2,Gestão,Gestão / Administração
5,Não Informado,Marketing afiliado,Negócios / Marketing
5,Não Informado,Redes afiliadas,Linguagem de Programação
5,Não Informado,Marketing online,Negócios / Marketing
5,Não Informado,Experiência em marketing digital,Negócios / Marketing
5,Não Informado,WebTrends Analytics,Informática / Softwares
5,Não Informado,Gestão comercial,Gestão / Administração
5,Não Informado,Comércio eletrônico,Negócios / Marketing
6,23,Software Engineering,Engenharia
6,18,Software Development,TI / Desenvolvedor
6,11,MapReduce,Linguagem de Programação
6,10,Distributed Systems,TI / Desenvolvedor
6,10,C++,Linguagem de Programação
6,9,Algorithms,Linguagem de Programação
6,8,Java,Linguagem de Programação
6,8,Python,Linguagem de Programação
6,7,Linux,Informática / Softwares
6,3,Scrum,Gestão / Administração
6,3,C,Linguagem de Programação
6,3,Git,Informática / Softwares
6,2,Software Design,TI / Desenvolvedor
6,2,Microsoft Office,Informática / Softwares
6,2,Unix,Informática / Softwares
6,1,Customer Service,Negócios / Marketing
6,1,Computer Science,TI / Desenvolvedor
6,1,Microsoft Word,Informática / Softwares
6,1,Subversion,Informática / Softwares
6,1,PowerPoint,Informática / Softwares
6,1,Scalability,TI / Desenvolvedor
6,1,Microsoft Excel,Informática / Softwares
6,Não Informado,Information Retrieval,TI / Desenvolvedor
7,Não Informado,Microsoft Office,Informática / Softwares
7,Não Informado,Microsoft Excel,Informática / Softwares
7,Não Informado,Microsoft Word,Informática / Softwares
7,Não Informado,Microsoft PowerPoint,Informática / Softwares
7,Não Informado,Oratória,Oratória / Escrita
8,80,Estratégia empresarial,Gestão / Administração
8,73,Empreendedorismo,Empreendedorismo
8,57,Business Strategy,Negócios / Marketing
8,52,Comércio eletrônico,Negócios / Marketing
8,50,E-commerce,Negócios / Marketing
8,47,Publicidade online,Negócios / Marketing
8,41,New Business Development,Negócios / Marketing
8,41,Business Planning,Negócios / Marketing
8,39,Marketing Strategy,Negócios / Marketing
8,38,Online Advertising,Negócios / Marketing
8,35,Estratégias de marketing,Negócios / Marketing
8,28,Empresas startups,Empreendedorismo
8,27,Affiliate Marketing,Negócios / Marketing
8,25,Affiliate Networks,Negócios / Marketing
8,25,Online Lead Generation,TI / Desenvolvedor
8,23,Entrepreneurship,Empreendedorismo
8,22,Business Intelligence,Negócios / Marketing
8,22,Start-ups,Empreendedorismo
8,22,Planejamento empresarial,Gestão / Administração
8,20,Angel Investing,Negócios / Marketing
8,19,Financial Analysis,Negócios / Marketing
8,18,Commerce,Negócios / Marketing
8,17,Start-up Environment,Empreendedorismo
8,17,Desenvolvimento de novos negócios,Negócios / Marketing
8,17,Planejamento estratégico,Gestão / Administração
8,16,Business Valuation,Negócios / Marketing
8,16,Startup Development,TI / Desenvolvedor
8,16,Startup Marketing,Negócios / Marketing
8,16,SEO (Otimização de motores de busca),TI / Desenvolvedor
8,15,Trade Finance,Negócios / Marketing
8,15,Estratégia,Gestão / Administração
8,14,SEO,TI / Desenvolvedor
8,14,Fusões e aquisições,Negócios / Marketing
8,14,Marketing digital,Negócios / Marketing
8,13,Stock Market Analysis,Negócios / Marketing
8,13,Marketing online,Negócios / Marketing
8,12,M&A experience,Negócios / Marketing
8,12,Stock Exchange,Negócios / Marketing
8,12,Análise financeira,Negócios / Marketing
8,12,Digital Marketing,Negócios / Marketing
8,12,Online Marketing,Negócios / Marketing
8,11,Strategic Planning,Gestão / Administração
8,10,Capital de risco,Negócios / Marketing
8,9,Business Development,Negócios / Marketing
8,9,Mergers & Acquisitions,Negócios / Marketing
8,8,Mergers,Negócios / Marketing
8,8,Venture Capital,Negócios / Marketing
8,15,Brazilian Laws,Direito
8,12,Internet Entrepreneur,Empreendedorismo
8,12,Innovation,Empreendedorismo
9,21,Gestão de contas,Gestão / Administração
9,17,Análise de dados,TI / Desenvolvedor
9,23,Comércio eletrônico,Negócios / Marketing
9,16,Marketing afiliado,Negócios / Marketing
9,17,Google Analytics,Informática / Softwares
9,18,Marketing online,Negócios / Marketing
9,20,Mídias sociais,Negócios / Marketing
9,15,Marketing por e-mail,Negócios / Marketing
9,9,Resolução de problemas,Gestão / Administração
9,13,E-commerce SEO,Negócios / Marketing
9,9,Comunicações de marketing,Negócios / Marketing
9,5,Banco de dados,TI / Desenvolvedor
9,8,Negociação de contratos,Negócios / Marketing
9,6,Implementação de pixel,TI / Desenvolvedor
9,6,Soluções criativas,Gestão / Administração
9,7,Atendimento ao Cliente,Negócios / Marketing
9,13,Microsoft Excel,Informática / Softwares
9,7,Afiliação,Negócios / Marketing
9,14,Gestão,Gestão / Administração
9,4,Investimentos,Negócios / Marketing
9,11,Microsoft Word,Informática / Softwares
9,15,Marketing social,Negócios / Marketing
9,6,Desenvolvimento de novos negócios,Negócios / Marketing
9,6,Social Media,Negócios / Marketing
9,4,Revisão de texto,Oratória / Escrita
9,2,Análise de riscos,Negócios / Marketing
9,1,Satisfação do cliente,Negócios / Marketing
9,Não Informado,Seguros,Negócios / Marketing
9,Não Informado,Talento vocal,Design / Artes
9,Não Informado,Edição de vídeo,Design / Artes
9,1,Edição de imagens,Design / Artes
9,Não Informado,Edição de áudio,Design / Artes
9,4,Management,Gestão / Administração
9,3,Strategic Planning,Gestão / Administração
9,1,E-commerce,Negócios / Marketing
9,1,Social Media Marketing,Negócios / Marketing
9,4,Marketing Strategy,Negócios / Marketing
9,4,Marketing,Negócios / Marketing
9,2,Digital Marketing,Negócios / Marketing
9,1,Customer Service,Negócios / Marketing
9,1,Microsoft PowerPoint,Informática / Softwares
9,1,New Business Development,Negócios / Marketing
9,Não Informado,Gestão de pessoal,Gestão / Administração
9,3,Planejamento estratégico,Gestão / Administração
9,4,Estratégias de marketing,Negócios / Marketing
9,3,Marketing digital,Negócios / Marketing
9,2,Business Development,Negócios / Marketing
10,10,Marketing digital,Negócios / Marketing
10,9,Inglês,Idiomas
10,9,Melhoria de processos empresariais,Gestão / Administração
10,8,Seis Sigma,Gestão / Administração
10,8,Gestão,Gestão / Administração
10,8,Management,Gestão / Administração
10,7,E-commerce SEO,Negócios / Marketing
10,6,JavaScript,Linguagem de Programação
10,6,Melhoria de processos,Gestão / Administração
10,5,Gestão Lean,Gestão / Administração
10,5,Business Development,Negócios / Marketing
10,3,MySQL,Informática / Softwares
10,3,Pensamento Lean,Gestão / Administração
10,3,Ferramentas lean,Gestão / Administração
10,2,PHP,Linguagem de Programação
10,1,Planejamento estratégico,Gestão / Administração
10,1,Desenvolvimento empresarial,Gestão / Administração
10,1,Estratégia empresarial,Gestão / Administração
11,28,Publicidade,Negócios / Marketing
11,29,Estratégias de marketing,Negócios / Marketing
11,9,Affiliation,Negócios / Marketing
11,15,Marketing Communications,Negócios / Marketing
11,13,Marketing digital,Negócios / Marketing
11,25,Mídias sociais,Negócios / Marketing
11,5,E-commerce SEO,Negócios / Marketing
11,20,Relações públicas,Negócios / Marketing
11,9,Estratégia digital,Gestão / Administração
11,12,Publicidade online,Negócios / Marketing
11,3,Brand Development,Gestão / Administração
11,6,Marketing por e-mail,Negócios / Marketing
11,24,Marketing,Negócios / Marketing
11,5,Liderança,Comportamento / Social
11,4,Marketing direto,Negócios / Marketing
11,3,Melhoria de processos,Gestão / Administração
11,4,Planejamento estratégico,Gestão / Administração
11,1,Digital Strategy,Gestão / Administração
11,8,Microsoft Excel,Informática / Softwares
11,8,Marketing Strategy,Negócios / Marketing
12,1,E-commerce global,Negócios / Marketing
12,1,Sales Tracking,Negócios / Marketing
12,1,SQL,Linguagem de Programação
12,8,Engenharia de produção,Engenharia
12,17,Gestão de projetos,Gestão / Administração
12,8,Gestão empresarial,Gestão / Administração
